Latitude,Cities,Temperature,Humidity,Cloudiness,Wind Speed
-56.0,"Puerto Williams,CL, South Georgia and the South Sandwich Islands,GS, Barrio Almirante Brown,AR, Ushuaia,AR",41.0,60,20,10.29
-54.638532313131314,"Grytviken,GS, Río Grande,AR, Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur,AR, Porvenir,CL, Kaiken,AR",27.72,93,0,6.93
-53.27706462626263,"Región de Magallanes y de la Antártica Chilena,CL, Punta Arenas,CL, Chabunco,CL, Río de los Ciervos,CL",35.6,93,75,6.93
-51.915596939393936,"Yacimiento Rio Turbio,AR, Rio Gallegos,AR, Hill Station,AR, Puerto Natales,CL, Veintiocho de Noviembre,AR, Falkland Islands (Islas Malvinas),FK, Rincon Grande Settlement,FK, Mare Harbour Rancho,FK, Stanley,FK, Puerto Bories,CL",37.4,77,40,10.29
-50.55412925252525,"Archipel des Kerguelen,TF, Comandante Luis Piedra Buena,AR, Port-aux-Francais,TF, El Calafate,AR, San Julian,AR, Puerto Santa Cruz,AR",34.47,73,6,12.045
-49.192661565656564,"Provincia de Santa Cruz,AR, Gobernador Gregores,AR",38.295,54,0,13.5
-47.83119387878788,"Los Antiguos,AR, Bluff,NZ, Cochrane,CL, Región Aisén del General Carlos Ibáñez del Campo,CL, Cañadón Seco,AR, Perito Moreno,AR, Invercargill City,NZ, Otara,NZ, Las Heras,AR, Puerto Deseado,AR, Pico Truncado,AR, Chile Chico,CL",41.04,78,0,6.119999999999999
-46.46972619191919,"Facundo,AR, Clutha District,NZ, Waverley,NZ, Río Mayo,AR, Valle,AR, Otautau,NZ, Caleta Olivia,AR, Comodoro Rivadavia,AR, Southland District,NZ, Riversdale,NZ, Wyndham,NZ, Avenal,NZ, Winton,NZ, Las Pulgas,AR, Momona,NZ, Escalante,AR, Sindicato Dodero,AR, Balclutha,NZ, Moeraki,NZ, Ranfurly,NZ",51.91,68,0,8.690000000000001
-45.10825850505051,"La Junta,CL, Rakaia,NZ, Allenton,NZ, Glenavy,NZ, Camarones,AR, Ashburton District,NZ, Wanaka,NZ, Little River,NZ, Leeston,NZ, Waitaki,NZ, Omakau,NZ, Waitangi,NZ, Timaru District,NZ, Pleasant Point,NZ, Creighton,NZ, Arrowtown,NZ, Waimate District,NZ, Jose de San Martin,AR, Queenstown-Lakes District,NZ, Twizel,NZ",49.480000000000004,72,0,5.61
-43.74679081818182,"Nugent,AU, Woodbridge,AU, Tasman,AU, Derwent Valley,AU, Bream Creek,AU, Longley,AU, Southern Midlands,AU, Hobart,AU, Lewisham,AU, Cheviot,NZ, Culverden,NZ, Warrane,AU, Kettering,AU, Broadmarsh,AU, Buckland,AU, Rolleston,NZ, Hokitika,NZ, Halswell,NZ, Lauderdale,AU, Burwood,NZ",57.2,47,20,12.75
-42.38532313131313,"Railton,AU, Interlaken,AU, Chudleigh,AU, Ancud,CL, Natone,AU, Los Pellines,CL, Break O'Day,AU, Riverlands,NZ, Golconda,AU, Calbuco,CL, Wilmot,AU, Cressy,AU, Mapua,NZ, Blessington,AU, Goulds Country,AU, Montana,AU, Evandale,AU, Pukerua Bay,NZ, Lebrina,AU, Lower Hutt,NZ",51.8,64,75,11.41
